model,sample_id,sample,latency_ms,tokens,json_valid,output
llama-70b,1,My account has been hacked and I can't log in!...,509,146,✓,"{'classification': 'spam', 'confidence': 0.9}"
llama-70b,2,Can you tell me your business hours please?...,297,144,✓,"{'classification': 'not spam', 'confidence': 0.9}"
llama-70b,3,I was charged twice for my order â€” fix this now!...,395,149,✓,"{'classification': 'not spam', 'confidence': 0.8}"
llama-70b,4,Just wanted to say your product is amazing....,424,144,✓,"{'classification': 'not spam', 'confidence': 0.8}"
llama-70b,5,"My shipment is 3 weeks late, I need it urgently....",439,148,✓,"{'classification': 'not spam', 'confidence': 0.9}"
llama-70b,6,How do I change my newsletter preferences?...,434,143,✓,"{'classification': 'not spam', 'confidence': 0.9}"
llama-70b,7,The app keeps crashing and I have a deadline today!...,425,146,✓,"{'classification': 'not spam', 'confidence': 0.9}"
llama-70b,8,Do you offer student discounts?...,422,141,✓,"{'classification': 'not spam', 'confidence': 0.9}"
llama-70b,9,Someone made a fraudulent purchase on my card!...,481,144,✓,"{'classification': 'not spam', 'confidence': 0.8}"
llama-70b,10,I would like a product catalogue please....,309,143,✓,"{'classification': 'not spam', 'confidence': 0.8}"
llama-70b,11,My password reset email never arrived â€” locked out!...,386,147,✓,"{'classification': 'not spam', 'confidence': 0.8}"
llama-70b,12,What are the dimensions of the large box?...,414,144,✓,"{'classification': 'not spam', 'confidence': 0.9}"
llama-70b,13,Server is down and my entire team is blocked!...,364,145,✓,"{'classification': 'not spam', 'confidence': 0.8}"
llama-70b,14,Can I get a receipt for my purchase last month?...,314,146,✓,"{'classification': 'not spam', 'confidence': 0.9}"
llama-70b,15,I received the wrong item and need it replaced today....,326,146,✓,"{'classification': 'not spam', 'confidence': 0.9}"
llama-70b,16,Where can I find your return policy?...,465,143,✓,"{'classification': 'not spam', 'confidence': 0.9}"
llama-70b,17,My child accidentally deleted all our family data!...,359,143,✓,"{'classification': 'spam', 'confidence': 0.9}"
llama-70b,18,Is there a loyalty programme I can join?...,285,144,✓,"{'classification': 'not spam', 'confidence': 0.9}"
llama-70b,19,Payment failing repeatedly â€” I have a meeting soon!...,338,146,✓,"{'classification': 'spam', 'confidence': 0.8}"
llama-70b,20,Just checking if my order has been dispatched yet....,383,145,✓,"{'classification': 'not spam', 'confidence': 0.9}"
llama-8b,1,My account has been hacked and I can't log in!...,373,146,✓,"{'classification': 'spam', 'confidence': 0.9}"
llama-8b,2,Can you tell me your business hours please?...,282,135,✓,{'classification': 'not spam'}
llama-8b,3,I was charged twice for my order â€” fix this now!...,242,148,✓,"{'classification': 'spam', 'confidence': 0.9}"
llama-8b,4,Just wanted to say your product is amazing....,306,144,✓,"{'classification': 'not spam', 'confidence': 0.8}"
llama-8b,5,"My shipment is 3 weeks late, I need it urgently....",294,139,✓,{'classification': 'not spam'}
llama-8b,6,How do I change my newsletter preferences?...,220,134,✓,{'classification': 'not spam'}
llama-8b,7,The app keeps crashing and I have a deadline today!...,162,137,✓,{'classification': 'not spam'}
llama-8b,8,Do you offer student discounts?...,168,132,✓,{'classification': 'not spam'}
llama-8b,9,Someone made a fraudulent purchase on my card!...,180,143,✓,"{'classification': 'spam', 'confidence': 0.9}"
llama-8b,10,I would like a product catalogue please....,176,134,✓,{'classification': 'not spam'}
llama-8b,11,My password reset email never arrived â€” locked out!...,182,138,✓,{'classification': 'not spam'}
llama-8b,12,What are the dimensions of the large box?...,273,135,✓,{'classification': 'not spam'}
llama-8b,13,Server is down and my entire team is blocked!...,184,144,✓,"{'classification': 'spam', 'confidence': 0.9}"
llama-8b,14,Can I get a receipt for my purchase last month?...,175,146,✓,"{'classification': 'not spam', 'confidence': 1.0}"
llama-8b,15,I received the wrong item and need it replaced today....,178,137,✓,{'classification': 'not spam'}
llama-8b,16,Where can I find your return policy?...,287,143,✓,"{'classification': 'not spam', 'confidence': 0.8}"
llama-8b,17,My child accidentally deleted all our family data!...,157,134,✓,{'classification': 'spam'}
llama-8b,18,Is there a loyalty programme I can join?...,162,135,✓,{'classification': 'not spam'}
llama-8b,19,Payment failing repeatedly â€” I have a meeting soon!...,161,137,✓,{'classification': 'spam'}
llama-8b,20,Just checking if my order has been dispatched yet....,164,136,✓,{'classification': 'not spam'}
qwen-32b,1,My account has been hacked and I can't log in!...,740,297,✓,"{'label': 'not spam', 'confidence': 0.95}"
qwen-32b,2,Can you tell me your business hours please?...,560,276,✓,"{'label': 'not spam', 'confidence': 0.95}"
qwen-32b,3,I was charged twice for my order â€” fix this now!...,700,277,✓,"{'label': 'spam', 'confidence': 0.95}"
qwen-32b,4,Just wanted to say your product is amazing....,657,328,✓,"{'classification': 'not spam', 'confidence': 0.95}"
